order_id,date,product,category,country,quantity,price,revenue,channel
APR_1,2024-04-16,Shoes,Fashion,Germany,3,83.4,250.2,Email
APR_2,2024-04-27,Shoes,Fashion,Italy,5,102.1,510.5,TikTok
APR_3,2024-04-19,Shoes,Fashion,Germany,1,48.34,48.34,TikTok
APR_4,2024-04-13,Headphones,Electronics,Portugal,1,65.22,65.22,Google Ads
APR_5,2024-04-23,Watch,Accessories,Spain,1,239.53,239.53,Instagram
APR_6,2024-04-13,Bag,Accessories,Portugal,4,136.12,544.48,Organic
APR_7,2024-04-22,Bag,Accessories,Portugal,1,96.97,96.97,TikTok
APR_8,2024-04-23,Shoes,Fashion,Germany,5,81.94,409.7,Email
APR_9,2024-04-25,Watch,Accessories,France,2,170.35,340.7,Organic
APR_10,2024-04-2,T-Shirt,Fashion,Germany,5,24.05,120.25,Organic
APR_11,2024-04-9,T-Shirt,Fashion,Spain,1,22.48,22.48,Instagram
APR_12,2024-04-5,Watch,Accessories,Germany,3,230.56,691.68,Email
APR_13,2024-04-25,Watch,Accessories,Spain,1,274.62,274.62,Instagram
APR_14,2024-04-26,Headphones,Electronics,Portugal,1,163.49,163.49,Organic
APR_15,2024-04-15,Phone Case,Electronics,Germany,2,18.09,36.18,Organic
APR_16,2024-04-13,T-Shirt,Fashion,Portugal,2,35.19,70.38,TikTok
APR_17,2024-04-12,T-Shirt,Fashion,Germany,3,32.55,97.65,Email
APR_18,2024-04-20,Watch,Accessories,Italy,1,102.59,102.59,Instagram
APR_19,2024-04-7,Headphones,Electronics,France,2,95.85,191.7,Google Ads
APR_20,2024-04-10,Watch,Accessories,Italy,1,238.07,238.07,Organic
APR_21,2024-04-5,T-Shirt,Fashion,Germany,1,23.36,23.36,Email
APR_22,2024-04-27,Bag,Accessories,Germany,2,138.0,276.0,Organic
APR_23,2024-04-21,Phone Case,Electronics,France,2,23.26,46.52,Organic
APR_24,2024-04-8,Headphones,Electronics,Spain,2,80.02,160.04,Google Ads
APR_25,2024-04-21,Shoes,Fashion,Italy,1,85.24,85.24,Organic
APR_26,2024-04-26,Watch,Accessories,Italy,3,183.17,549.51,Instagram
APR_27,2024-04-5,Headphones,Electronics,Germany,5,91.06,455.3,TikTok
APR_28,2024-04-14,Shoes,Fashion,France,2,117.81,235.62,TikTok
APR_29,2024-04-4,T-Shirt,Fashion,Germany,1,35.71,35.71,Organic
APR_30,2024-04-3,Headphones,Electronics,Portugal,1,77.72,77.72,Google Ads
APR_31,2024-04-25,Bag,Accessories,Italy,1,115.81,115.81,Organic
APR_32,2024-04-6,Shoes,Fashion,Spain,4,107.51,430.04,TikTok
APR_33,2024-04-15,Phone Case,Electronics,France,1,27.19,27.19,Instagram
APR_34,2024-04-2,T-Shirt,Fashion,Germany,5,37.63,188.15,TikTok
APR_35,2024-04-11,Phone Case,Electronics,Spain,3,14.3,42.9,Organic
APR_36,2024-04-13,Watch,Accessories,Germany,1,125.25,125.25,Instagram
APR_37,2024-04-2,T-Shirt,Fashion,Spain,3,20.94,62.82,Organic
APR_38,2024-04-10,T-Shirt,Fashion,Italy,1,33.86,33.86,Email
APR_39,2024-04-15,Watch,Accessories,Spain,2,151.91,303.82,Email
APR_40,2024-04-9,Watch,Accessories,Germany,3,221.43,664.29,Email
APR_41,2024-04-19,Headphones,Electronics,Italy,2,125.51,251.02,Email
APR_42,2024-04-6,Headphones,Electronics,Portugal,2,161.78,323.56,TikTok
APR_43,2024-04-26,T-Shirt,Fashion,Italy,1,28.08,28.08,TikTok
APR_44,2024-04-11,T-Shirt,Fashion,Portugal,1,26.46,26.46,TikTok
APR_45,2024-04-11,Bag,Accessories,Italy,3,128.12,384.36,Email
APR_46,2024-04-24,T-Shirt,Fashion,Spain,2,28.32,56.64,Organic
APR_47,2024-04-11,Headphones,Electronics,Italy,1,151.32,151.32,Email
APR_48,2024-04-26,Bag,Accessories,Germany,5,146.24,731.2,Instagram
APR_49,2024-04-23,Phone Case,Electronics,Portugal,1,28.44,28.44,Google Ads
APR_50,2024-04-8,Phone Case,Electronics,Portugal,1,26.45,26.45,Google Ads
APR_51,2024-04-14,Shoes,Fashion,Italy,3,111.74,335.22,Organic
APR_52,2024-04-21,Bag,Accessories,Portugal,1,53.82,53.82,Organic
APR_53,2024-04-5,Headphones,Electronics,Portugal,3,130.89,392.67,TikTok
APR_54,2024-04-3,Shoes,Fashion,Italy,1,91.72,91.72,Instagram
APR_55,2024-04-7,Watch,Accessories,France,1,104.78,104.78,Email
