order_id,date,product,category,country,quantity,price,revenue,channel
AUG_1,2024-08-4,Watch,Accessories,Italy,1,106.88,106.88,Google Ads
AUG_2,2024-08-22,Phone Case,Electronics,Germany,2,20.21,40.42,Organic
AUG_3,2024-08-4,Bag,Accessories,Italy,1,81.56,81.56,Instagram
AUG_4,2024-08-27,Shoes,Fashion,Portugal,1,105.37,105.37,Google Ads
AUG_5,2024-08-26,Bag,Accessories,Italy,2,90.44,180.88,Organic
AUG_6,2024-08-22,Shoes,Fashion,Portugal,2,66.56,133.12,Email
AUG_7,2024-08-18,Headphones,Electronics,Spain,4,147.25,589.0,Email
AUG_8,2024-08-2,T-Shirt,Fashion,Germany,3,16.35,49.05,TikTok
AUG_9,2024-08-1,Bag,Accessories,Spain,3,35.45,106.35,Google Ads
AUG_10,2024-08-9,Watch,Accessories,Italy,4,206.55,826.2,Email
AUG_11,2024-08-26,Bag,Accessories,Germany,2,131.7,263.4,Organic
AUG_12,2024-08-24,Watch,Accessories,Italy,1,102.65,102.65,Organic
AUG_13,2024-08-17,Phone Case,Electronics,Germany,1,27.04,27.04,Instagram
AUG_14,2024-08-19,Shoes,Fashion,Portugal,3,64.75,194.25,Instagram
AUG_15,2024-08-7,Bag,Accessories,Germany,7,111.18,778.26,Instagram
AUG_16,2024-08-15,Watch,Accessories,Spain,3,210.88,632.64,Instagram
AUG_17,2024-08-24,T-Shirt,Fashion,Italy,1,38.12,38.12,TikTok
AUG_18,2024-08-25,Watch,Accessories,Portugal,1,252.67,252.67,Email
AUG_19,2024-08-18,T-Shirt,Fashion,Germany,1,10.27,10.27,Organic
AUG_20,2024-08-10,Headphones,Electronics,Portugal,2,166.17,332.34,Email
AUG_21,2024-08-6,Headphones,Electronics,Spain,1,187.89,187.89,Email
AUG_22,2024-08-17,Watch,Accessories,Italy,2,201.28,402.56,TikTok
AUG_23,2024-08-25,Watch,Accessories,Portugal,3,272.44,817.32,Email
AUG_24,2024-08-1,Shoes,Fashion,Germany,1,80.38,80.38,Organic
AUG_25,2024-08-20,Phone Case,Electronics,Spain,3,21.08,63.24,Organic
AUG_26,2024-08-2,Shoes,Fashion,France,3,45.45,136.35,Email
AUG_27,2024-08-20,Phone Case,Electronics,France,1,21.6,21.6,Google Ads
AUG_28,2024-08-17,Headphones,Electronics,France,3,167.84,503.52,Google Ads
AUG_29,2024-08-11,Headphones,Electronics,Italy,3,98.87,296.61,TikTok
AUG_30,2024-08-7,Shoes,Fashion,Italy,2,86.76,173.52,Instagram
AUG_31,2024-08-10,Watch,Accessories,Portugal,1,171.69,171.69,Instagram
AUG_32,2024-08-8,Headphones,Electronics,Italy,4,127.08,508.32,Google Ads
AUG_33,2024-08-23,Shoes,Fashion,Portugal,1,58.58,58.58,Email
AUG_34,2024-08-13,Headphones,Electronics,Spain,2,151.53,303.06,Google Ads
AUG_35,2024-08-25,Headphones,Electronics,Italy,1,192.82,192.82,Instagram
AUG_36,2024-08-26,T-Shirt,Fashion,Spain,5,35.07,175.35,Email
AUG_37,2024-08-11,Phone Case,Electronics,Italy,2,26.9,53.8,Instagram
AUG_38,2024-08-24,Watch,Accessories,Italy,2,245.62,491.24,Google Ads
AUG_39,2024-08-19,Shoes,Fashion,France,1,44.61,44.61,Email
AUG_40,2024-08-20,Shoes,Fashion,Germany,3,48.3,144.9,TikTok
AUG_41,2024-08-5,Phone Case,Electronics,France,2,29.89,59.78,Instagram
AUG_42,2024-08-14,Watch,Accessories,France,2,88.7,177.4,Google Ads
AUG_43,2024-08-26,Bag,Accessories,Italy,3,109.73,329.19,Google Ads
