order_id,date,product,category,country,quantity,price,revenue,channel
FEB_1,2024-02-5,Bag,Accessories,Italy,2,42.01,84.02,Organic
FEB_2,2024-02-21,Watch,Accessories,Spain,1,146.94,146.94,Organic
FEB_3,2024-02-17,T-Shirt,Fashion,Portugal,4,22.21,88.84,Email
FEB_4,2024-02-25,Headphones,Electronics,Portugal,1,196.33,196.33,Google Ads
FEB_5,2024-02-7,Phone Case,Electronics,Italy,1,13.83,13.83,Organic
FEB_6,2024-02-25,T-Shirt,Fashion,Spain,2,30.75,61.5,Google Ads
FEB_7,2024-02-7,T-Shirt,Fashion,Portugal,3,39.7,119.1,TikTok
FEB_8,2024-02-15,Bag,Accessories,Spain,2,103.2,206.4,TikTok
FEB_9,2024-02-23,Headphones,Electronics,France,2,121.05,242.1,Organic
FEB_10,2024-02-17,Headphones,Electronics,Spain,4,182.87,731.48,TikTok
FEB_11,2024-02-2,Phone Case,Electronics,Germany,3,25.19,75.57,Google Ads
FEB_12,2024-02-13,Shoes,Fashion,Italy,1,109.09,109.09,Google Ads
FEB_13,2024-02-17,Shoes,Fashion,Italy,2,87.03,174.06,Google Ads
FEB_14,2024-02-15,Bag,Accessories,Portugal,1,68.98,68.98,TikTok
FEB_15,2024-02-15,Shoes,Fashion,Germany,1,114.52,114.52,TikTok
FEB_16,2024-02-14,Bag,Accessories,Italy,3,145.69,437.07,Google Ads
FEB_17,2024-02-23,Headphones,Electronics,France,4,168.85,675.4,Email
FEB_18,2024-02-7,Bag,Accessories,Spain,3,45.69,137.07,Organic
FEB_19,2024-02-2,Watch,Accessories,Italy,5,192.06,960.3,Email
FEB_20,2024-02-4,T-Shirt,Fashion,Spain,1,39.03,39.03,Instagram
FEB_21,2024-02-26,Bag,Accessories,Spain,2,144.99,289.98,Organic
FEB_22,2024-02-12,T-Shirt,Fashion,Germany,1,11.55,11.55,Instagram
FEB_23,2024-02-3,Phone Case,Electronics,France,1,29.35,29.35,TikTok
FEB_24,2024-02-22,Bag,Accessories,France,1,127.61,127.61,Organic
FEB_25,2024-02-12,Phone Case,Electronics,Portugal,1,17.31,17.31,Google Ads
FEB_26,2024-02-19,T-Shirt,Fashion,Portugal,1,39.79,39.79,TikTok
FEB_27,2024-02-24,Headphones,Electronics,Italy,1,52.08,52.08,TikTok
FEB_28,2024-02-18,Bag,Accessories,Portugal,3,122.22,366.66,Email
FEB_29,2024-02-5,T-Shirt,Fashion,Germany,5,35.92,179.6,Google Ads
FEB_30,2024-02-11,T-Shirt,Fashion,France,4,16.6,66.4,Google Ads
FEB_31,2024-02-21,Phone Case,Electronics,Germany,1,14.59,14.59,TikTok
FEB_32,2024-02-6,Watch,Accessories,Spain,4,91.68,366.72,Google Ads
FEB_33,2024-02-21,Shoes,Fashion,Portugal,1,116.75,116.75,Email
FEB_34,2024-02-22,Phone Case,Electronics,France,4,17.62,70.48,Instagram
FEB_35,2024-02-23,Watch,Accessories,Spain,4,227.95,911.8,Organic
FEB_36,2024-02-22,Headphones,Electronics,Italy,3,156.96,470.88,TikTok
FEB_37,2024-02-15,Watch,Accessories,Spain,1,227.82,227.82,Google Ads
FEB_38,2024-02-12,Phone Case,Electronics,Portugal,3,23.71,71.13,Instagram
FEB_39,2024-02-3,Headphones,Electronics,Italy,4,127.84,511.36,TikTok
FEB_40,2024-02-24,Headphones,Electronics,France,1,87.39,87.39,Organic
FEB_41,2024-02-20,Headphones,Electronics,Portugal,1,147.53,147.53,TikTok
FEB_42,2024-02-10,Shoes,Fashion,Spain,2,107.74,215.48,TikTok
FEB_43,2024-02-1,Watch,Accessories,Spain,3,265.88,797.64,TikTok
FEB_44,2024-02-10,Bag,Accessories,France,1,72.12,72.12,Instagram
FEB_45,2024-02-26,Bag,Accessories,Portugal,2,66.64,133.28,TikTok
FEB_46,2024-02-14,T-Shirt,Fashion,Italy,1,38.55,38.55,Instagram
FEB_47,2024-02-26,Headphones,Electronics,Spain,4,160.96,643.84,Email
FEB_48,2024-02-9,T-Shirt,Fashion,Portugal,1,27.42,27.42,Google Ads
FEB_49,2024-02-18,Phone Case,Electronics,Germany,2,26.91,53.82,Google Ads
FEB_50,2024-02-5,Watch,Accessories,Spain,1,282.83,282.83,TikTok
FEB_51,2024-02-17,Bag,Accessories,Germany,1,38.06,38.06,Email
FEB_52,2024-02-1,T-Shirt,Fashion,Portugal,1,20.98,20.98,Email
FEB_53,2024-02-17,Phone Case,Electronics,Italy,1,14.46,14.46,Email
FEB_54,2024-02-6,Headphones,Electronics,France,1,106.99,106.99,Organic
FEB_55,2024-02-26,Shoes,Fashion,Spain,1,79.72,79.72,Instagram
FEB_56,2024-02-10,Shoes,Fashion,France,1,104.25,104.25,TikTok
FEB_57,2024-02-1,Bag,Accessories,Portugal,1,58.3,58.3,TikTok
FEB_58,2024-02-23,Phone Case,Electronics,France,2,10.52,21.04,Email
FEB_59,2024-02-16,Phone Case,Electronics,Germany,5,25.47,127.35,Instagram
FEB_60,2024-02-27,Bag,Accessories,France,2,146.71,293.42,Email
FEB_61,2024-02-11,Phone Case,Electronics,Spain,1,26.12,26.12,TikTok
FEB_62,2024-02-13,Phone Case,Electronics,Portugal,1,21.11,21.11,TikTok
FEB_63,2024-02-13,Headphones,Electronics,Portugal,1,166.17,166.17,TikTok
FEB_64,2024-02-2,Bag,Accessories,Spain,1,35.41,35.41,Email
FEB_65,2024-02-17,Bag,Accessories,France,1,67.64,67.64,Google Ads
FEB_66,2024-02-21,Watch,Accessories,Portugal,3,103.86,311.58,Organic
FEB_67,2024-02-21,Watch,Accessories,Spain,2,112.16,224.32,Email
FEB_68,2024-02-5,Headphones,Electronics,Germany,3,167.69,503.07,Google Ads
FEB_69,2024-02-7,Bag,Accessories,France,2,45.23,90.46,TikTok
FEB_70,2024-02-2,Watch,Accessories,France,1,84.04,84.04,Email
FEB_71,2024-02-27,Phone Case,Electronics,Portugal,3,29.73,89.19,Email
FEB_72,2024-02-5,Bag,Accessories,Portugal,1,34.27,34.27,Email
FEB_73,2024-02-4,T-Shirt,Fashion,France,1,14.63,14.63,Google Ads
FEB_74,2024-02-22,Bag,Accessories,Spain,2,94.98,189.96,TikTok
FEB_75,2024-02-22,Headphones,Electronics,Germany,2,74.62,149.24,Organic
FEB_76,2024-02-8,T-Shirt,Fashion,France,2,11.21,22.42,Organic
FEB_77,2024-02-9,Bag,Accessories,Germany,1,130.54,130.54,TikTok
FEB_78,2024-02-23,Headphones,Electronics,Spain,2,197.49,394.98,Instagram
FEB_79,2024-02-8,Shoes,Fashion,Germany,2,61.59,123.18,Google Ads
FEB_80,2024-02-20,Bag,Accessories,Italy,2,81.43,162.86,Email
FEB_81,2024-02-17,Bag,Accessories,Spain,1,40.99,40.99,Email
FEB_82,2024-02-6,Headphones,Electronics,Italy,3,73.54,220.62,Instagram
FEB_83,2024-02-27,Headphones,Electronics,Germany,2,115.88,231.76,Instagram
FEB_84,2024-02-6,T-Shirt,Fashion,Germany,2,33.06,66.12,TikTok
FEB_85,2024-02-6,T-Shirt,Fashion,Italy,6,38.16,228.96,Email
FEB_86,2024-02-4,Headphones,Electronics,Italy,4,196.27,785.08,TikTok
FEB_87,2024-02-26,T-Shirt,Fashion,Portugal,1,38.62,38.62,Organic
FEB_88,2024-02-23,T-Shirt,Fashion,Portugal,3,34.99,104.97,Organic
FEB_89,2024-02-20,Headphones,Electronics,Italy,2,74.47,148.94,Organic
FEB_90,2024-02-23,T-Shirt,Fashion,Portugal,1,29.81,29.81,Organic
FEB_91,2024-02-11,Headphones,Electronics,Portugal,1,187.96,187.96,TikTok
FEB_92,2024-02-7,Watch,Accessories,Germany,5,207.86,1039.3,Email
FEB_93,2024-02-27,Watch,Accessories,Germany,2,249.02,498.04,Instagram
FEB_94,2024-02-6,Headphones,Electronics,France,4,166.18,664.72,Email
FEB_95,2024-02-11,Headphones,Electronics,Spain,2,56.29,112.58,Email
FEB_96,2024-02-18,Phone Case,Electronics,Portugal,1,26.89,26.89,Email
FEB_97,2024-02-26,Phone Case,Electronics,Portugal,1,13.83,13.83,Google Ads
