order_id,date,product,category,country,quantity,price,revenue,channel
JUL_1,2024-07-26,T-Shirt,Fashion,France,2,38.19,76.38,Organic
JUL_2,2024-07-10,T-Shirt,Fashion,Germany,1,10.58,10.58,Email
JUL_3,2024-07-13,T-Shirt,Fashion,Italy,3,22.32,66.96,TikTok
JUL_4,2024-07-15,Bag,Accessories,France,1,92.09,92.09,Email
JUL_5,2024-07-15,Headphones,Electronics,Portugal,1,160.65,160.65,Google Ads
JUL_6,2024-07-7,Bag,Accessories,Italy,1,136.22,136.22,Email
JUL_7,2024-07-16,Headphones,Electronics,Germany,2,176.83,353.66,Email
JUL_8,2024-07-16,Shoes,Fashion,France,2,84.19,168.38,Instagram
JUL_9,2024-07-23,Shoes,Fashion,Germany,1,114.52,114.52,TikTok
JUL_10,2024-07-10,Watch,Accessories,Italy,2,272.36,544.72,Organic
JUL_11,2024-07-2,Phone Case,Electronics,France,2,18.6,37.2,TikTok
JUL_12,2024-07-20,Bag,Accessories,Italy,1,133.04,133.04,Organic
JUL_13,2024-07-1,Shoes,Fashion,Portugal,1,59.74,59.74,TikTok
JUL_14,2024-07-3,Watch,Accessories,France,3,204.77,614.31,Google Ads
JUL_15,2024-07-6,Headphones,Electronics,Portugal,4,156.26,625.04,Instagram
JUL_16,2024-07-7,Phone Case,Electronics,Portugal,1,21.45,21.45,Instagram
JUL_17,2024-07-1,Watch,Accessories,Italy,2,178.95,357.9,Google Ads
JUL_18,2024-07-14,Bag,Accessories,Portugal,1,35.15,35.15,Google Ads
JUL_19,2024-07-17,Headphones,Electronics,Italy,4,179.25,717.0,Instagram
JUL_20,2024-07-4,T-Shirt,Fashion,Portugal,1,12.69,12.69,Google Ads
JUL_21,2024-07-7,Watch,Accessories,Italy,3,175.37,526.11,Instagram
JUL_22,2024-07-23,Shoes,Fashion,France,1,40.82,40.82,Email
JUL_23,2024-07-6,Headphones,Electronics,Germany,6,82.21,493.26,Organic
JUL_24,2024-07-16,Bag,Accessories,Italy,1,86.28,86.28,TikTok
JUL_25,2024-07-9,Phone Case,Electronics,Italy,1,12.91,12.91,Google Ads
JUL_26,2024-07-5,Headphones,Electronics,France,2,94.99,189.98,TikTok
JUL_27,2024-07-19,T-Shirt,Fashion,Portugal,1,26.62,26.62,Google Ads
JUL_28,2024-07-22,T-Shirt,Fashion,France,1,35.02,35.02,Instagram
JUL_29,2024-07-26,T-Shirt,Fashion,France,1,15.67,15.67,Organic
JUL_30,2024-07-24,T-Shirt,Fashion,Italy,1,32.42,32.42,Organic
JUL_31,2024-07-27,Watch,Accessories,France,2,282.88,565.76,Email
JUL_32,2024-07-27,Headphones,Electronics,Spain,4,107.13,428.52,Email
JUL_33,2024-07-5,Watch,Accessories,Portugal,2,92.65,185.3,TikTok
JUL_34,2024-07-18,Bag,Accessories,Spain,3,142.08,426.24,Email
JUL_35,2024-07-14,Headphones,Electronics,France,1,77.01,77.01,Google Ads
JUL_36,2024-07-18,Shoes,Fashion,Portugal,3,94.77,284.31,TikTok
JUL_37,2024-07-21,T-Shirt,Fashion,France,2,11.31,22.62,Google Ads
JUL_38,2024-07-15,Shoes,Fashion,Portugal,1,111.26,111.26,Instagram
JUL_39,2024-07-2,Watch,Accessories,Portugal,1,251.61,251.61,Email
JUL_40,2024-07-9,Watch,Accessories,Portugal,1,265.77,265.77,TikTok
JUL_41,2024-07-24,Watch,Accessories,France,6,272.06,1632.36,Google Ads
JUL_42,2024-07-16,Phone Case,Electronics,Italy,1,27.58,27.58,Organic
JUL_43,2024-07-4,T-Shirt,Fashion,Portugal,1,28.94,28.94,Google Ads
JUL_44,2024-07-12,Bag,Accessories,Spain,3,76.31,228.93,Instagram
JUL_45,2024-07-27,Watch,Accessories,Portugal,1,259.85,259.85,Google Ads
JUL_46,2024-07-26,Watch,Accessories,Portugal,1,104.34,104.34,Email
JUL_47,2024-07-6,Phone Case,Electronics,Italy,1,22.58,22.58,Google Ads
JUL_48,2024-07-17,Shoes,Fashion,France,1,47.24,47.24,Google Ads
JUL_49,2024-07-9,Watch,Accessories,Italy,1,84.15,84.15,Google Ads
JUL_50,2024-07-19,T-Shirt,Fashion,Portugal,2,15.27,30.54,Organic
JUL_51,2024-07-17,T-Shirt,Fashion,Italy,4,26.81,107.24,Instagram
JUL_52,2024-07-9,Phone Case,Electronics,Spain,2,15.03,30.06,Email
JUL_53,2024-07-9,Watch,Accessories,Germany,1,191.53,191.53,Google Ads
JUL_54,2024-07-17,Watch,Accessories,Germany,3,246.4,739.2,Email
JUL_55,2024-07-21,T-Shirt,Fashion,Italy,1,35.32,35.32,Google Ads
JUL_56,2024-07-17,Bag,Accessories,Portugal,1,45.03,45.03,Instagram
JUL_57,2024-07-23,Shoes,Fashion,France,3,67.45,202.35,Google Ads
JUL_58,2024-07-2,Bag,Accessories,France,1,124.6,124.6,Google Ads
JUL_59,2024-07-17,Shoes,Fashion,Spain,4,55.6,222.4,Email
JUL_60,2024-07-9,Watch,Accessories,Spain,1,244.2,244.2,Organic
JUL_61,2024-07-3,Watch,Accessories,France,2,229.35,458.7,Google Ads
JUL_62,2024-07-7,Shoes,Fashion,Portugal,1,112.19,112.19,TikTok
JUL_63,2024-07-9,Shoes,Fashion,Spain,1,43.61,43.61,Instagram
JUL_64,2024-07-16,Watch,Accessories,Italy,1,82.78,82.78,Organic
JUL_65,2024-07-5,Watch,Accessories,Germany,2,257.03,514.06,Email
JUL_66,2024-07-11,Bag,Accessories,Italy,1,132.29,132.29,Organic
JUL_67,2024-07-1,Bag,Accessories,Portugal,1,119.05,119.05,Organic
JUL_68,2024-07-18,Bag,Accessories,Portugal,3,30.01,90.03,Organic
JUL_69,2024-07-19,Watch,Accessories,Portugal,1,147.36,147.36,TikTok
JUL_70,2024-07-18,Headphones,Electronics,Spain,2,180.02,360.04,Organic
JUL_71,2024-07-9,Phone Case,Electronics,Spain,1,20.96,20.96,Google Ads
JUL_72,2024-07-24,Phone Case,Electronics,France,1,19.95,19.95,Organic
JUL_73,2024-07-11,Watch,Accessories,Italy,2,277.39,554.78,Instagram
JUL_74,2024-07-6,Headphones,Electronics,Italy,5,104.48,522.4,Organic
JUL_75,2024-07-16,T-Shirt,Fashion,Portugal,2,13.3,26.6,Instagram
JUL_76,2024-07-14,Headphones,Electronics,Spain,1,90.29,90.29,Google Ads
JUL_77,2024-07-20,Watch,Accessories,France,2,199.93,399.86,Instagram
JUL_78,2024-07-17,Headphones,Electronics,Italy,3,122.17,366.51,Instagram
JUL_79,2024-07-17,Bag,Accessories,Portugal,1,95.27,95.27,Organic
JUL_80,2024-07-2,Watch,Accessories,France,1,270.79,270.79,TikTok
JUL_81,2024-07-16,Headphones,Electronics,Spain,2,101.99,203.98,TikTok
JUL_82,2024-07-2,Headphones,Electronics,Germany,1,156.65,156.65,TikTok
JUL_83,2024-07-7,Watch,Accessories,Italy,2,107.43,214.86,Instagram
JUL_84,2024-07-14,Bag,Accessories,France,3,59.25,177.75,Organic
JUL_85,2024-07-1,Phone Case,Electronics,Germany,1,27.41,27.41,Google Ads
JUL_86,2024-07-11,Bag,Accessories,France,3,112.36,337.08,Email
JUL_87,2024-07-16,Phone Case,Electronics,Spain,1,12.82,12.82,Organic
JUL_88,2024-07-25,T-Shirt,Fashion,Spain,4,39.05,156.2,Email
JUL_89,2024-07-4,T-Shirt,Fashion,France,4,25.71,102.84,TikTok
JUL_90,2024-07-25,Bag,Accessories,Italy,2,73.65,147.3,TikTok
JUL_91,2024-07-12,T-Shirt,Fashion,Portugal,3,15.83,47.49,Instagram
JUL_92,2024-07-19,Phone Case,Electronics,France,6,18.58,111.48,Organic
JUL_93,2024-07-5,Shoes,Fashion,France,2,53.54,107.08,TikTok
JUL_94,2024-07-9,T-Shirt,Fashion,France,3,29.32,87.96,Organic
JUL_95,2024-07-6,Phone Case,Electronics,Spain,2,25.99,51.98,Organic
JUL_96,2024-07-24,T-Shirt,Fashion,Spain,3,19.39,58.17,Organic
JUL_97,2024-07-20,Bag,Accessories,Germany,3,70.81,212.43,Organic
JUL_98,2024-07-15,Shoes,Fashion,Germany,1,104.81,104.81,TikTok
JUL_99,2024-07-11,Phone Case,Electronics,France,1,11.54,11.54,TikTok
JUL_100,2024-07-6,T-Shirt,Fashion,Spain,2,37.24,74.48,Email
JUL_101,2024-07-14,Shoes,Fashion,France,4,100.58,402.32,Instagram
JUL_102,2024-07-4,Watch,Accessories,Italy,1,182.35,182.35,Instagram
JUL_103,2024-07-23,Shoes,Fashion,Portugal,2,88.73,177.46,Instagram
JUL_104,2024-07-1,T-Shirt,Fashion,Germany,1,27.72,27.72,Email
JUL_105,2024-07-4,Headphones,Electronics,Spain,2,175.38,350.76,Email
JUL_106,2024-07-13,Phone Case,Electronics,France,3,25.14,75.42,TikTok
JUL_107,2024-07-6,Shoes,Fashion,Italy,2,95.3,190.6,Email
JUL_108,2024-07-12,Headphones,Electronics,Spain,2,112.01,224.02,TikTok
JUL_109,2024-07-10,Watch,Accessories,France,1,118.28,118.28,Instagram
JUL_110,2024-07-12,Headphones,Electronics,Germany,5,120.43,602.15,Instagram
JUL_111,2024-07-10,T-Shirt,Fashion,Portugal,2,30.54,61.08,Instagram
JUL_112,2024-07-24,Bag,Accessories,Italy,1,82.93,82.93,Organic
JUL_113,2024-07-21,Shoes,Fashion,Germany,1,94.36,94.36,TikTok
JUL_114,2024-07-9,Shoes,Fashion,Spain,3,108.82,326.46,Google Ads
JUL_115,2024-07-11,T-Shirt,Fashion,Portugal,1,34.54,34.54,Instagram
JUL_116,2024-07-18,Bag,Accessories,Spain,3,42.87,128.61,TikTok
JUL_117,2024-07-24,Shoes,Fashion,Portugal,1,72.27,72.27,TikTok
JUL_118,2024-07-27,Headphones,Electronics,Spain,1,55.6,55.6,TikTok
JUL_119,2024-07-8,Watch,Accessories,Portugal,1,235.98,235.98,Instagram
JUL_120,2024-07-19,Phone Case,Electronics,Spain,3,27.65,82.95,Organic
JUL_121,2024-07-2,Phone Case,Electronics,Portugal,2,17.55,35.1,TikTok
JUL_122,2024-07-27,Bag,Accessories,Italy,4,37.65,150.6,Google Ads
