order_id,date,product,category,country,quantity,price,revenue,channel
JUN_1,2024-06-10,Bag,Accessories,Italy,1,120.71,120.71,Instagram
JUN_2,2024-06-19,Phone Case,Electronics,Portugal,1,26.12,26.12,Instagram
JUN_3,2024-06-18,Watch,Accessories,Italy,1,134.34,134.34,Email
JUN_4,2024-06-5,T-Shirt,Fashion,France,2,33.27,66.54,Google Ads
JUN_5,2024-06-19,Bag,Accessories,Portugal,2,61.87,123.74,Google Ads
JUN_6,2024-06-18,Headphones,Electronics,Germany,3,171.68,515.04,Google Ads
JUN_7,2024-06-25,Headphones,Electronics,Germany,2,158.89,317.78,Instagram
JUN_8,2024-06-27,Phone Case,Electronics,Germany,1,22.31,22.31,Email
JUN_9,2024-06-13,Phone Case,Electronics,Germany,1,26.71,26.71,Organic
JUN_10,2024-06-10,Shoes,Fashion,Spain,2,67.8,135.6,TikTok
JUN_11,2024-06-27,Phone Case,Electronics,Spain,3,29.66,88.98,Email
JUN_12,2024-06-20,Watch,Accessories,Portugal,1,291.43,291.43,Google Ads
JUN_13,2024-06-9,T-Shirt,Fashion,France,2,20.53,41.06,TikTok
JUN_14,2024-06-15,Watch,Accessories,Portugal,3,104.46,313.38,Organic
JUN_15,2024-06-22,T-Shirt,Fashion,Portugal,1,12.75,12.75,TikTok
JUN_16,2024-06-6,Phone Case,Electronics,Spain,2,10.72,21.44,Email
JUN_17,2024-06-20,Headphones,Electronics,Portugal,1,54.62,54.62,Organic
JUN_18,2024-06-4,Headphones,Electronics,France,1,67.93,67.93,Instagram
JUN_19,2024-06-20,Shoes,Fashion,Portugal,2,109.96,219.92,Email
JUN_20,2024-06-8,Headphones,Electronics,France,4,66.17,264.68,Google Ads
JUN_21,2024-06-8,Phone Case,Electronics,Italy,1,14.42,14.42,TikTok
JUN_22,2024-06-7,Phone Case,Electronics,Italy,1,17.63,17.63,Organic
JUN_23,2024-06-20,Watch,Accessories,Italy,3,92.73,278.19,Instagram
JUN_24,2024-06-4,Headphones,Electronics,Spain,3,160.05,480.15,Organic
JUN_25,2024-06-23,Shoes,Fashion,Germany,1,51.81,51.81,Email
JUN_26,2024-06-1,Headphones,Electronics,Portugal,3,91.44,274.32,Email
JUN_27,2024-06-26,Shoes,Fashion,Portugal,1,44.21,44.21,TikTok
JUN_28,2024-06-6,Headphones,Electronics,France,1,151.31,151.31,Instagram
JUN_29,2024-06-6,Phone Case,Electronics,Italy,5,18.77,93.85,Email
JUN_30,2024-06-14,Phone Case,Electronics,Italy,1,25.61,25.61,TikTok
JUN_31,2024-06-21,Headphones,Electronics,Germany,2,178.69,357.38,Organic
JUN_32,2024-06-27,Watch,Accessories,Italy,2,289.55,579.1,Instagram
JUN_33,2024-06-6,Headphones,Electronics,Germany,3,130.42,391.26,Organic
JUN_34,2024-06-22,Watch,Accessories,France,1,259.16,259.16,Instagram
JUN_35,2024-06-3,Shoes,Fashion,France,3,90.16,270.48,Email
JUN_36,2024-06-15,T-Shirt,Fashion,Portugal,1,24.66,24.66,Google Ads
JUN_37,2024-06-6,Phone Case,Electronics,Portugal,2,23.61,47.22,Google Ads
JUN_38,2024-06-24,Bag,Accessories,Germany,2,131.02,262.04,Email
JUN_39,2024-06-18,Headphones,Electronics,Portugal,6,173.62,1041.72,Google Ads
JUN_40,2024-06-25,Headphones,Electronics,Portugal,1,54.36,54.36,Instagram
JUN_41,2024-06-23,Phone Case,Electronics,Spain,2,12.66,25.32,Google Ads
