order_id,date,product,category,country,quantity,price,revenue,channel
MAR_1,2024-03-8,Headphones,Electronics,Spain,2,132.8,265.6,TikTok
MAR_2,2024-03-21,Bag,Accessories,Portugal,1,143.25,143.25,Organic
MAR_3,2024-03-8,Phone Case,Electronics,Spain,2,26.04,52.08,TikTok
MAR_4,2024-03-2,Bag,Accessories,Italy,1,71.0,71.0,Email
MAR_5,2024-03-7,Bag,Accessories,Portugal,1,133.71,133.71,Organic
MAR_6,2024-03-19,Headphones,Electronics,France,5,126.26,631.3,Email
MAR_7,2024-03-19,Headphones,Electronics,Spain,4,112.17,448.68,Google Ads
MAR_8,2024-03-22,T-Shirt,Fashion,Germany,1,39.92,39.92,Email
MAR_9,2024-03-4,Watch,Accessories,Portugal,1,90.5,90.5,Instagram
MAR_10,2024-03-5,Watch,Accessories,Spain,1,245.62,245.62,Organic
MAR_11,2024-03-6,T-Shirt,Fashion,France,1,24.83,24.83,TikTok
MAR_12,2024-03-13,Phone Case,Electronics,Spain,3,21.14,63.42,Email
MAR_13,2024-03-15,T-Shirt,Fashion,France,1,25.89,25.89,Google Ads
MAR_14,2024-03-6,Watch,Accessories,Germany,3,110.9,332.7,Email
MAR_15,2024-03-6,Bag,Accessories,Spain,4,57.8,231.2,Instagram
MAR_16,2024-03-26,T-Shirt,Fashion,Germany,2,29.68,59.36,Instagram
MAR_17,2024-03-7,Headphones,Electronics,Portugal,1,161.32,161.32,Instagram
MAR_18,2024-03-15,Bag,Accessories,Germany,2,135.54,271.08,TikTok
MAR_19,2024-03-20,Phone Case,Electronics,Germany,1,28.59,28.59,Email
MAR_20,2024-03-21,T-Shirt,Fashion,Spain,3,20.88,62.64,Instagram
MAR_21,2024-03-8,Headphones,Electronics,Portugal,1,57.93,57.93,Instagram
MAR_22,2024-03-5,Watch,Accessories,France,2,198.55,397.1,Instagram
MAR_23,2024-03-1,Phone Case,Electronics,Italy,2,15.54,31.08,Email
MAR_24,2024-03-17,T-Shirt,Fashion,France,1,18.62,18.62,TikTok
MAR_25,2024-03-11,Shoes,Fashion,France,2,44.07,88.14,Organic
MAR_26,2024-03-23,T-Shirt,Fashion,Italy,3,33.54,100.62,Google Ads
MAR_27,2024-03-15,Watch,Accessories,Italy,2,238.63,477.26,TikTok
MAR_28,2024-03-3,Shoes,Fashion,Spain,3,96.79,290.37,Organic
MAR_29,2024-03-9,Phone Case,Electronics,Italy,1,11.08,11.08,TikTok
MAR_30,2024-03-26,Bag,Accessories,Italy,4,149.68,598.72,Email
MAR_31,2024-03-14,Watch,Accessories,Italy,3,288.49,865.47,Instagram
MAR_32,2024-03-22,Phone Case,Electronics,Portugal,1,19.74,19.74,Instagram
MAR_33,2024-03-10,Shoes,Fashion,Portugal,2,98.75,197.5,TikTok
MAR_34,2024-03-22,Watch,Accessories,Germany,2,267.4,534.8,TikTok
MAR_35,2024-03-25,Bag,Accessories,France,1,113.48,113.48,Email
MAR_36,2024-03-7,Shoes,Fashion,Italy,1,93.26,93.26,Email
MAR_37,2024-03-1,Bag,Accessories,Portugal,1,40.11,40.11,Organic
MAR_38,2024-03-15,T-Shirt,Fashion,Germany,1,33.58,33.58,TikTok
MAR_39,2024-03-26,Shoes,Fashion,Italy,2,49.82,99.64,Instagram
MAR_40,2024-03-7,Watch,Accessories,Germany,1,251.8,251.8,Google Ads
MAR_41,2024-03-16,Watch,Accessories,Portugal,1,227.7,227.7,Organic
MAR_42,2024-03-23,Phone Case,Electronics,Italy,5,26.56,132.8,Google Ads
MAR_43,2024-03-7,Phone Case,Electronics,Spain,1,11.19,11.19,Organic
MAR_44,2024-03-24,Bag,Accessories,Italy,6,41.91,251.46,TikTok
MAR_45,2024-03-13,Watch,Accessories,Italy,1,209.63,209.63,Instagram
MAR_46,2024-03-18,Phone Case,Electronics,France,3,13.22,39.66,Email
MAR_47,2024-03-3,Watch,Accessories,France,3,188.3,564.9,Instagram
MAR_48,2024-03-7,Phone Case,Electronics,Germany,3,26.57,79.71,Instagram
MAR_49,2024-03-15,Watch,Accessories,Portugal,1,206.98,206.98,Organic
MAR_50,2024-03-22,Watch,Accessories,France,1,202.6,202.6,TikTok
MAR_51,2024-03-11,Shoes,Fashion,Portugal,2,76.22,152.44,Organic
MAR_52,2024-03-21,Phone Case,Electronics,Spain,5,25.54,127.7,Instagram
MAR_53,2024-03-5,Watch,Accessories,Germany,5,148.65,743.25,Email
MAR_54,2024-03-19,Phone Case,Electronics,Spain,1,21.55,21.55,Email
MAR_55,2024-03-16,T-Shirt,Fashion,Spain,4,32.36,129.44,Instagram
MAR_56,2024-03-2,T-Shirt,Fashion,France,1,31.19,31.19,Organic
MAR_57,2024-03-4,Phone Case,Electronics,Spain,1,14.4,14.4,Google Ads
MAR_58,2024-03-18,Watch,Accessories,Germany,7,161.33,1129.31,Instagram
MAR_59,2024-03-19,Shoes,Fashion,Portugal,1,79.46,79.46,Email
MAR_60,2024-03-26,Bag,Accessories,Portugal,1,123.22,123.22,Organic
MAR_61,2024-03-3,Phone Case,Electronics,Italy,1,15.43,15.43,Instagram
MAR_62,2024-03-20,Phone Case,Electronics,Germany,1,10.61,10.61,Email
MAR_63,2024-03-4,Watch,Accessories,Spain,1,252.05,252.05,Organic
MAR_64,2024-03-2,Bag,Accessories,Spain,1,120.24,120.24,Email
MAR_65,2024-03-11,Phone Case,Electronics,Spain,1,24.32,24.32,Email
MAR_66,2024-03-26,Watch,Accessories,France,1,293.81,293.81,Email
MAR_67,2024-03-5,T-Shirt,Fashion,Spain,1,30.37,30.37,Organic
MAR_68,2024-03-4,Bag,Accessories,France,1,78.41,78.41,Organic
MAR_69,2024-03-25,Shoes,Fashion,France,2,73.11,146.22,Instagram
MAR_70,2024-03-18,Phone Case,Electronics,Germany,3,29.48,88.44,Google Ads
MAR_71,2024-03-26,Phone Case,Electronics,Portugal,2,11.76,23.52,Email
MAR_72,2024-03-24,Bag,Accessories,Spain,1,98.31,98.31,Instagram
MAR_73,2024-03-23,Phone Case,Electronics,Portugal,2,11.64,23.28,Google Ads
MAR_74,2024-03-21,Shoes,Fashion,Spain,1,83.63,83.63,Instagram
MAR_75,2024-03-9,Phone Case,Electronics,Portugal,1,21.02,21.02,Email
MAR_76,2024-03-25,T-Shirt,Fashion,Spain,1,12.65,12.65,Organic
MAR_77,2024-03-24,T-Shirt,Fashion,Portugal,1,26.37,26.37,Organic
MAR_78,2024-03-15,Bag,Accessories,Germany,2,120.75,241.5,Email
