order_id,date,product,category,country,quantity,price,revenue,channel
MAY_1,2024-05-24,Shoes,Fashion,Germany,1,85.85,85.85,Email
MAY_2,2024-05-4,Headphones,Electronics,Germany,2,78.32,156.64,Organic
MAY_3,2024-05-25,Phone Case,Electronics,Portugal,1,14.8,14.8,TikTok
MAY_4,2024-05-19,Headphones,Electronics,Spain,1,166.51,166.51,Email
MAY_5,2024-05-19,Phone Case,Electronics,Portugal,1,21.76,21.76,Instagram
MAY_6,2024-05-6,Headphones,Electronics,France,1,166.11,166.11,Google Ads
MAY_7,2024-05-16,Shoes,Fashion,Portugal,1,49.58,49.58,Google Ads
MAY_8,2024-05-15,Bag,Accessories,Portugal,1,113.52,113.52,Organic
MAY_9,2024-05-14,Watch,Accessories,Portugal,1,280.66,280.66,Organic
MAY_10,2024-05-7,Watch,Accessories,Germany,1,235.41,235.41,Organic
MAY_11,2024-05-15,Headphones,Electronics,Italy,1,74.02,74.02,Organic
MAY_12,2024-05-2,Shoes,Fashion,Portugal,1,61.9,61.9,Organic
MAY_13,2024-05-21,Phone Case,Electronics,Germany,7,20.11,140.77,Google Ads
MAY_14,2024-05-17,Watch,Accessories,Germany,1,179.75,179.75,Organic
MAY_15,2024-05-5,Bag,Accessories,Portugal,2,38.83,77.66,Organic
MAY_16,2024-05-10,Bag,Accessories,Portugal,1,32.4,32.4,Instagram
MAY_17,2024-05-27,Headphones,Electronics,Germany,2,128.3,256.6,Instagram
MAY_18,2024-05-17,Bag,Accessories,France,3,53.02,159.06,Email
MAY_19,2024-05-17,Phone Case,Electronics,Italy,5,14.48,72.4,TikTok
MAY_20,2024-05-5,T-Shirt,Fashion,Italy,1,25.32,25.32,Email
MAY_21,2024-05-11,T-Shirt,Fashion,France,1,19.65,19.65,Email
MAY_22,2024-05-8,Shoes,Fashion,Portugal,2,101.82,203.64,Organic
MAY_23,2024-05-21,Shoes,Fashion,Germany,7,87.87,615.09,Google Ads
MAY_24,2024-05-16,Watch,Accessories,Italy,2,86.98,173.96,Email
MAY_25,2024-05-15,Bag,Accessories,Portugal,1,38.46,38.46,Organic
MAY_26,2024-05-13,Phone Case,Electronics,Portugal,1,14.41,14.41,Instagram
MAY_27,2024-05-4,Watch,Accessories,Italy,3,122.31,366.93,Email
MAY_28,2024-05-24,Shoes,Fashion,Germany,1,94.86,94.86,Organic
MAY_29,2024-05-22,Phone Case,Electronics,Spain,2,21.64,43.28,TikTok
MAY_30,2024-05-2,Phone Case,Electronics,Germany,1,27.59,27.59,TikTok
MAY_31,2024-05-12,Shoes,Fashion,Spain,2,44.43,88.86,Email
MAY_32,2024-05-13,T-Shirt,Fashion,Germany,1,11.33,11.33,Google Ads
MAY_33,2024-05-19,Shoes,Fashion,Portugal,1,77.42,77.42,TikTok
MAY_34,2024-05-16,Phone Case,Electronics,Portugal,3,17.73,53.19,Google Ads
MAY_35,2024-05-15,Headphones,Electronics,Italy,4,156.37,625.48,Email
MAY_36,2024-05-18,Watch,Accessories,France,2,102.38,204.76,Instagram
MAY_37,2024-05-9,Watch,Accessories,Germany,1,84.82,84.82,Google Ads
MAY_38,2024-05-2,Phone Case,Electronics,France,1,17.59,17.59,Google Ads
MAY_39,2024-05-20,Phone Case,Electronics,France,2,13.31,26.62,Organic
MAY_40,2024-05-10,Watch,Accessories,Germany,2,151.39,302.78,Email
MAY_41,2024-05-10,T-Shirt,Fashion,Germany,1,12.02,12.02,Email
MAY_42,2024-05-10,Shoes,Fashion,Italy,3,45.06,135.18,Organic
MAY_43,2024-05-21,T-Shirt,Fashion,Spain,1,25.69,25.69,Instagram
MAY_44,2024-05-14,Phone Case,Electronics,Portugal,1,25.35,25.35,Email
MAY_45,2024-05-8,Shoes,Fashion,Portugal,1,103.81,103.81,Email
MAY_46,2024-05-21,Headphones,Electronics,Germany,3,90.38,271.14,TikTok
MAY_47,2024-05-23,Watch,Accessories,Germany,1,190.14,190.14,Email
MAY_48,2024-05-17,Bag,Accessories,Italy,1,38.93,38.93,TikTok
MAY_49,2024-05-23,Headphones,Electronics,France,5,171.26,856.3,Google Ads
MAY_50,2024-05-23,Watch,Accessories,Spain,1,170.43,170.43,TikTok
MAY_51,2024-05-19,Bag,Accessories,Germany,3,92.77,278.31,TikTok
MAY_52,2024-05-11,Headphones,Electronics,Spain,1,140.04,140.04,TikTok
MAY_53,2024-05-22,Shoes,Fashion,Spain,3,42.55,127.65,Google Ads
MAY_54,2024-05-22,Shoes,Fashion,Italy,5,41.08,205.4,Organic
MAY_55,2024-05-26,T-Shirt,Fashion,Spain,1,37.96,37.96,TikTok
MAY_56,2024-05-27,T-Shirt,Fashion,France,6,13.43,80.58,Organic
MAY_57,2024-05-10,Shoes,Fashion,Spain,3,68.6,205.8,Google Ads
MAY_58,2024-05-11,Watch,Accessories,Germany,2,295.91,591.82,Email
MAY_59,2024-05-12,Bag,Accessories,Spain,1,75.22,75.22,Organic
MAY_60,2024-05-20,Bag,Accessories,Spain,4,68.59,274.36,Email
MAY_61,2024-05-25,Phone Case,Electronics,Spain,2,14.12,28.24,Instagram
MAY_62,2024-05-12,Watch,Accessories,Italy,5,155.36,776.8,Google Ads
MAY_63,2024-05-20,Phone Case,Electronics,Germany,2,23.32,46.64,Email
MAY_64,2024-05-11,Phone Case,Electronics,Germany,5,22.98,114.9,Email
MAY_65,2024-05-4,Bag,Accessories,Italy,1,125.49,125.49,TikTok
MAY_66,2024-05-2,Shoes,Fashion,Germany,6,77.07,462.42,TikTok
MAY_67,2024-05-24,T-Shirt,Fashion,Portugal,1,39.78,39.78,Instagram
MAY_68,2024-05-15,Phone Case,Electronics,Italy,1,25.0,25.0,Instagram
MAY_69,2024-05-21,Phone Case,Electronics,Italy,3,18.54,55.62,Instagram
