order_id,date,product,category,country,quantity,price,revenue,channel
NOV_1,2024-11-23,T-Shirt,Fashion,Portugal,1,33.96,33.96,Google Ads
NOV_2,2024-11-12,Bag,Accessories,Germany,1,137.27,137.27,Email
NOV_3,2024-11-5,Watch,Accessories,Italy,1,253.86,253.86,TikTok
NOV_4,2024-11-10,T-Shirt,Fashion,Italy,1,13.86,13.86,Organic
NOV_5,2024-11-19,Watch,Accessories,Spain,2,230.56,461.12,Organic
NOV_6,2024-11-4,T-Shirt,Fashion,France,1,15.42,15.42,Organic
NOV_7,2024-11-19,Headphones,Electronics,Germany,2,169.87,339.74,Email
NOV_8,2024-11-3,Headphones,Electronics,France,3,180.28,540.84,TikTok
NOV_9,2024-11-17,T-Shirt,Fashion,Italy,2,28.04,56.08,TikTok
NOV_10,2024-11-22,Headphones,Electronics,Portugal,1,108.77,108.77,Google Ads
NOV_11,2024-11-25,Headphones,Electronics,Portugal,1,114.95,114.95,Instagram
NOV_12,2024-11-6,Phone Case,Electronics,Italy,1,13.47,13.47,Email
NOV_13,2024-11-24,T-Shirt,Fashion,France,2,31.0,62.0,Email
NOV_14,2024-11-5,Watch,Accessories,Germany,1,138.74,138.74,Instagram
NOV_15,2024-11-17,Phone Case,Electronics,Spain,1,23.05,23.05,Email
NOV_16,2024-11-15,Bag,Accessories,Germany,1,58.77,58.77,Email
NOV_17,2024-11-21,Shoes,Fashion,France,2,88.94,177.88,Organic
NOV_18,2024-11-19,T-Shirt,Fashion,Portugal,2,21.49,42.98,Instagram
NOV_19,2024-11-3,T-Shirt,Fashion,Spain,1,19.29,19.29,TikTok
NOV_20,2024-11-21,Phone Case,Electronics,France,2,26.55,53.1,Google Ads
NOV_21,2024-11-7,T-Shirt,Fashion,Germany,3,22.1,66.3,Google Ads
NOV_22,2024-11-5,Headphones,Electronics,Germany,1,100.77,100.77,Organic
NOV_23,2024-11-13,Shoes,Fashion,Italy,2,44.63,89.26,Organic
NOV_24,2024-11-18,Headphones,Electronics,France,4,51.14,204.56,Google Ads
NOV_25,2024-11-27,Phone Case,Electronics,Germany,1,20.41,20.41,Google Ads
NOV_26,2024-11-15,T-Shirt,Fashion,Spain,3,15.15,45.45,Email
NOV_27,2024-11-5,T-Shirt,Fashion,Portugal,2,23.4,46.8,Google Ads
NOV_28,2024-11-26,Shoes,Fashion,Spain,1,82.81,82.81,Google Ads
NOV_29,2024-11-8,Headphones,Electronics,Portugal,2,115.56,231.12,Instagram
NOV_30,2024-11-4,Phone Case,Electronics,Italy,2,19.01,38.02,Organic
NOV_31,2024-11-3,Watch,Accessories,Italy,1,239.03,239.03,Organic
NOV_32,2024-11-10,Shoes,Fashion,France,1,64.02,64.02,Google Ads
NOV_33,2024-11-18,Watch,Accessories,Portugal,1,163.15,163.15,Email
NOV_34,2024-11-23,Phone Case,Electronics,Spain,3,10.28,30.84,Email
NOV_35,2024-11-9,Headphones,Electronics,Spain,1,135.31,135.31,Instagram
NOV_36,2024-11-14,Watch,Accessories,Portugal,1,260.24,260.24,Organic
NOV_37,2024-11-19,T-Shirt,Fashion,Spain,1,18.2,18.2,Email
NOV_38,2024-11-20,Shoes,Fashion,Spain,1,80.21,80.21,Email
NOV_39,2024-11-27,Phone Case,Electronics,France,1,15.95,15.95,Instagram
NOV_40,2024-11-20,Headphones,Electronics,France,1,83.61,83.61,Instagram
NOV_41,2024-11-19,T-Shirt,Fashion,Portugal,2,36.59,73.18,Google Ads
NOV_42,2024-11-26,Headphones,Electronics,Germany,1,86.98,86.98,Instagram
NOV_43,2024-11-13,Phone Case,Electronics,France,2,22.75,45.5,Organic
NOV_44,2024-11-3,T-Shirt,Fashion,Italy,1,30.13,30.13,TikTok
NOV_45,2024-11-25,T-Shirt,Fashion,Portugal,1,16.74,16.74,Organic
NOV_46,2024-11-9,Watch,Accessories,Spain,2,261.62,523.24,TikTok
NOV_47,2024-11-21,Watch,Accessories,Spain,1,187.35,187.35,Email
NOV_48,2024-11-16,Headphones,Electronics,Spain,1,181.78,181.78,Google Ads
NOV_49,2024-11-5,Headphones,Electronics,Italy,1,123.45,123.45,Instagram
NOV_50,2024-11-14,Headphones,Electronics,Spain,5,84.94,424.7,Instagram
NOV_51,2024-11-8,Shoes,Fashion,Germany,6,80.99,485.94,Email
NOV_52,2024-11-5,Headphones,Electronics,Spain,1,198.91,198.91,Google Ads
NOV_53,2024-11-15,Watch,Accessories,Portugal,1,235.34,235.34,Instagram
NOV_54,2024-11-16,Phone Case,Electronics,Spain,1,26.1,26.1,Organic
NOV_55,2024-11-7,Headphones,Electronics,Italy,2,107.82,215.64,Organic
NOV_56,2024-11-26,Headphones,Electronics,France,1,197.33,197.33,Organic
NOV_57,2024-11-2,Shoes,Fashion,France,1,118.67,118.67,Email
NOV_58,2024-11-13,Phone Case,Electronics,Italy,1,20.3,20.3,Google Ads
NOV_59,2024-11-22,Watch,Accessories,Portugal,1,225.75,225.75,Email
NOV_60,2024-11-3,Headphones,Electronics,Portugal,1,128.94,128.94,Instagram
NOV_61,2024-11-19,Phone Case,Electronics,France,3,13.3,39.9,Organic
NOV_62,2024-11-17,Shoes,Fashion,Spain,1,94.89,94.89,Google Ads
NOV_63,2024-11-7,Phone Case,Electronics,Portugal,1,10.16,10.16,Organic
NOV_64,2024-11-19,Watch,Accessories,Italy,2,173.84,347.68,Instagram
NOV_65,2024-11-11,Phone Case,Electronics,Italy,2,13.31,26.62,Google Ads
NOV_66,2024-11-16,Bag,Accessories,Spain,1,63.6,63.6,Organic
NOV_67,2024-11-9,Shoes,Fashion,Portugal,1,115.49,115.49,Organic
NOV_68,2024-11-8,Shoes,Fashion,Spain,1,111.49,111.49,Email
NOV_69,2024-11-17,Phone Case,Electronics,Germany,2,17.95,35.9,Organic
NOV_70,2024-11-3,Bag,Accessories,Germany,3,96.53,289.59,Organic
NOV_71,2024-11-14,Shoes,Fashion,Spain,1,85.0,85.0,Instagram
NOV_72,2024-11-25,Phone Case,Electronics,Portugal,1,20.85,20.85,Instagram
NOV_73,2024-11-20,Bag,Accessories,Germany,3,76.28,228.84,Google Ads
NOV_74,2024-11-6,T-Shirt,Fashion,Italy,1,38.14,38.14,Organic
NOV_75,2024-11-2,T-Shirt,Fashion,Portugal,3,35.77,107.31,Email
NOV_76,2024-11-26,T-Shirt,Fashion,Germany,2,17.15,34.3,Google Ads
NOV_77,2024-11-16,T-Shirt,Fashion,France,4,12.66,50.64,Google Ads
NOV_78,2024-11-15,Watch,Accessories,France,1,262.31,262.31,Email
NOV_79,2024-11-17,Headphones,Electronics,France,2,181.3,362.6,TikTok
NOV_80,2024-11-4,Phone Case,Electronics,Italy,1,15.43,15.43,Organic
NOV_81,2024-11-25,Shoes,Fashion,Spain,3,66.59,199.77,TikTok
NOV_82,2024-11-14,Watch,Accessories,Italy,3,97.74,293.22,Instagram
NOV_83,2024-11-25,Phone Case,Electronics,Spain,3,22.99,68.97,TikTok
NOV_84,2024-11-7,Watch,Accessories,Italy,3,252.0,756.0,Email
NOV_85,2024-11-17,Headphones,Electronics,Germany,1,66.58,66.58,Email
NOV_86,2024-11-3,Headphones,Electronics,Italy,2,152.17,304.34,TikTok
NOV_87,2024-11-22,Headphones,Electronics,Portugal,1,115.23,115.23,Google Ads
